"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"FD&C Yellow No. 6","Sunset Yellow","2783-94-0","Hashem MM, Atta AH, Arbid MS, Nada SA, Asaad GF. 2010. Immunological studies on Amaranth, Sunset Yellow and Curcumin as food colouring agents in albino rats. Food Chem Toxicol 48(6):1581-1586.  DOI: 10.1016/j.fct.2010.03.028. URL: https://www.sciencedirect.com/science/article/pii/S0278691510001778","Food additives and contact material, Industrial additive, Personal care product/Cosmetic ingredient","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","08/12/2014","08/12/2014",,,
"fenarimol"," ","60168-88-9","Andersen HR, Vinggaard AM, Rasmussen TH, Gjermandsen IM, Bonefeld-Jorgensen EC. 2002. Effects of currently used pesticides in assays for estrogenicity, androgenicity, and aromatase activity in vitro. Toxicol Appl Pharmacol 179(1):1-12.  DOI: 10.1006/taap.2001.9347. URL: https://www.sciencedirect.com/science/article/pii/S0041008X01993470  Grunfeld HT, Bonefeld-Jorgensen EC. 2004. Effect of in vitro estrogenic pesticides on human oestrogen receptor alpha and beta mRNA levels. Toxicol Lett 151(3):467-480. DOI: 10.1016/j.toxlet.2004.03.021. URL: http://www.sciencedirect.com/science/article/pii/S0378427404001699?via%3Dihub  Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/  Lemaire G, Mnif W, Pascussi JM, Pillon A, Rabenoelina F, Fenet H, Gomez E, Casellas C, Nicolas JC, Cavailles V, Duchesne MJ, Balaguer P. 2006. Identification of new human pregnane X receptor ligands among pesticides using a stable reporter cell system. Toxicol Sci 91(2):501-509. DOI: 10.1093/toxsci/kfj173. URL: https://academic.oup.com/toxsci/article/91/2/501/1656783  Okubo T, Yokoyama Y, Kano K, Soya Y, Kano I. 2004. Estimation of estrogenic and antiestrogenic activities of selected pesticides by MCF-7 cell proliferation assay. Arch Environ Contam Toxicol 46(4):445-453. DOI: 10.1007/s00244-003-3017-6. URL: https://link.springer.com/article/10.1007/s00244-003-3017-6  Vinggaard AM, Breinholt V, Larsen JC. 1999. Screening of selected pesticides for oestrogen receptor activation in vitro. Food Additives & Contaminants 16(12):533-542. DOI: 10.1080/026520399283678. URL: http://www.tandfonline.com/doi/abs/10.1080/026520399283678?journalCode=tfac19","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","09/18/2017",,,
"fenbuconazole"," ","114369-43-6","Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/  Lemaire G, Mnif W, Pascussi JM, Pillon A, Rabenoelina F, Fenet H, Gomez E, Casellas C, Nicolas JC, Cavailles V, Duchesne MJ, Balaguer P. 2006. Identification of new human pregnane X receptor ligands among pesticides using a stable reporter cell system. Toxicol Sci 91(2):501-509. DOI: 10.1093/toxsci/kfj173. URL: https://academic.oup.com/toxsci/article/91/2/501/1656783","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","05/05/2011",,,
"fenbutatin oxide",,"13356-08-6","Reddy PS, Pushpalatha T, Reddy PS. 2006. Reduction of spermatogenesis and steroidogenesis in mice after fentin and fenbutatin administration. Toxicol Lett 166(1):53-59. DOI: 10.1016/j.toxlet.2006.05.012. URL: https://www.sciencedirect.com/science/article/pii/S0378427406001767?via%3Dihub","Pesticide ingredient","Reddy PS, Pushpalatha T and Reddy PS. 2006. Reduction of spermatogenesis and steroidogenesis in mice after fentin and fenbutatin administration. Toxicol Lett 166(1): 53-59. DOI: 10.1016/j.toxlet.2006.05.012. URL: https://www.sciencedirect.com/science/article/pii/S0378427406001767?via%3Dihub  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","01/20/2017","01/20/2017",,,
"fenchlorfos","ronnel; fenchlorphos; fenclofos (WHO)","299-84-3","Rumsey TS, Bitman J, Tao H. 1983. Changes in plasma concentrations of thyroxine, triiodothyronine, cholesterol and total lipid in beef steers fed ronnel. J Anim Sci 56(1):125-131. URL: https://www.ncbi.nlm.nih.gov/pubmed/6186657","Medical/Veterinary/Research, Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","04/27/2015",,,
"fenhexamid"," ","126833-17-8","Kugathas S, Audouze K, Ermler S, Orton F, Rosivatz E, Scholze M, Kortenkamp A. 2015 (in press). Effects of common pesticides on prostaglandin D2 (PGD2) inhibition in SC5 mouse Sertoli cells, evidence of binding at the COX2 active site, and implications for endocrine disruption. Environ Health Perspect. DOI: 10.1289/ehp.1409544. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4829986/  Orton F, Rosivatz E, Scholze M, Kortenkamp A. 2011. Widely used pesticides with previously unknown endocrine activity revealed as in vitro antiandrogens. Environ Health Perspect 119(6):794-800. DOI: 10.1289/ehp.1002895. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114813/  Teng Y, Manavalan TT, Hu C, Medjakovic S, Jungbauer A, Klinge CM. 2013. Endocrine disruptors fludioxonil and fenhexamid stimulate miR-21 expression in breast cancer cells. Toxicol Sci 131(1):71-83. DOI: 10.1093/toxsci/kfs290. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3537134/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","10/07/2011","09/18/2017",,,
"fenitrothion","sumithion","122-14-5","Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/  Okubo T, Yokoyama Y, Kano K, Soya Y, Kano I. 2004. Estimation of estrogenic and antiestrogenic activities of selected pesticides by MCF-7 cell proliferation assay. Arch Environ Contam Toxicol 46(4):445-453. DOI: 10.1007/s00244-003-3017-6. URL: https://link.springer.com/article/10.1007/s00244-003-3017-6  Tamura H, Maness SC, Reischmann K, Dorman DC, Gray LE, Gaido KW. 2001. Androgen receptor antagonism by the organophosphate insecticide fenitrothion. Toxicol Sci 60(1):56-62. DOI: 10.1093/toxsci/60.1.56. URL: https://academic.oup.com/toxsci/article/60/1/56/1686498","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","09/18/2017",,,
"fenoprop","2-(2,4,5-trichlorophenoxy)propionic acid; silvex; 2,4,5-TP","93-72-1","Goldner WS, Sandler DP, Yu F, Shostrom V, Hoppin JA, Kamel F, LeVan TD. Hypothyroidism and pesticide use among male private pesticide applicators in the agricultural health study. Journal of occupational and environmental medicine/American College of Occupational and Environmental Medicine. 2013 Oct;55(10):1171. DOI: 10.1097/JOM.0b013e31829b290b. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3795845/  Van den Berg KJ, van Raaij JAGM, Bragt PC, Notten WRF. 1991. Interactions of halogenated industrial chemicals with transthyretin and effects on thyroid hormone levels in vivo. Arch Toxicol 65(1):15-19. DOI: 10.1007/BF01973497. URL: https://link.springer.com/article/10.1007/BF01973497","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","09/18/2017",,,
"fenoxycarb"," ","72490-01-8"," 79127-80-3","Schmuck G, Mihail F. 2004. Effects of the carbamates fenoxycarb, propamocarb and propoxur on energy supply, glucose utilization and SH-groups in neurons. Arch Toxicol 78(6):330-337. DOI: 10.1007/s00204-004-0546-3. URL: https://link.springer.com/article/10.1007%2Fs00204-004-0546-3  Smulders CJ, Bueters TJ, Van Kleef RG, Vijverberg HP. 2003. Selective effects of carbamate pesticides on rat neuronal nicotinic acetylcholine receptors and rat brain acetylcholinesterase. Toxicol Appl Pharmacol 193(2):139-146. DOI: 10.1016/j.taap.2003.07.011. URL: https://www.sciencedirect.com/science/article/pii/S0041008X0300396X  Tatarazako N, Oda S, Watanabe H, Morita M, Iguchi T. 2003. Juvenile hormone agonists affect the occurrence of male Daphnia. Chemosphere 53(8):827-833. DOI: 10.1016/S0045-6535(03)00761-6. URL: https://www.sciencedirect.com/science/article/pii/S0045653503007616","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","10/11/2013",,
"fenpicionil",,"74738-17-3","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W, Sheehan DM. 2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chem Res Toxicol 16(10):1338-1358. DOI: 10.1021/tx030011g. URL: http://pubs.acs.org/doi/abs/10.1021/tx030011g","Pesticide ingredient","ChemIDPlus Lite. URL: https://chem.nlm.nih.gov/chemidplus/chemidlite.jsp","01/20/2017","01/20/2017",,,
"fenthion"," ","55-38-9","Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/  Quistad GB, Nomura DK, Sparks SE, Segall Y, Casida JE. 2002. Cannabinoid CB1 receptor as a target for chlorpyrifos oxon and other organophosphorus pesticides. Toxicol Lett 135(1-2):89-93. DOI: 10.1016/S0378-4274(02)00251-5. URL: https://www.sciencedirect.com/science/article/pii/S0378427402002515?via%3Dihub","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US EPA. 2012. Pesticide Reregistration Status for Organophosphates. URL: https://archive.epa.gov/pesticides/reregistration/web/html/status_page_m.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"fentin hydroxide","triphenyltin hydroxide; fentin hydroxide; hydroxytriphenylstannane; fentin hydroxide; triphenylstannanol","76-87-9","Nakanishi, T., Kohroki, J., Suzuki, S., Ishizaki, J., Hiromori, Y., Takasuga, S., Itoh, N., Watanabe, Y., Utoguchi, N. and Tanaka, K., 2002. Trialkyltin compounds enhance human CG secretion and aromatase activity in human placental choriocarcinoma cells. The Journal of Clinical Endocrinology & Metabolism, 87(6), pp.2830-2837. DOI: 10.1210/jcem.87.6.8540. URL: https://academic.oup.com/jcem/article/87/6/2830/2847361  Yamabe Y, Hoshino A, Imura N, Suzuki T, Himeno S. 2000. Enhancement of androgen-dependent transcription and cell proliferation by tributyltin and triphenyltin in human prostate cancer cells. Toxicol Appl Pharmacol 169(2):177-184. DOI: 10.1006/taap.2000.9067. URL: https://www.sciencedirect.com/science/article/pii/S0041008X00990677","Antimicrobial, Food additives and contact material, Household product ingredient, Industrial additive, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"fenvalerate","cyano(3-phenoxyphenyl)methyl 4-chloro-?-(1-methylethyl)benzeneacetate","51630-58-1","Du G, Shen O, Sun H, Fei J, Lu C, Song L, Xia Y, Wang S, Wang X. 2010. Assessing hormone receptor activities of pyrethroid insecticides and their metabolites in reporter gene assays. Toxicol Sci 116(1):58-66. DOI: 10.1093/toxsci/kfq120. URL: https://academic.oup.com/toxsci/article/116/1/58/1661806  Eil C, Nisula BC. 1990. The binding properties of pyrethroids to human skin fibroblast androgen receptors and to sex hormone binding globulin. J Steroid Biochem 35(3/4):409-414. DOI: 10.1016/0022-4731(90)90248-Q. URL: https://www.sciencedirect.com/science/article/pii/002247319090248Q  Garey J, Wolff MS. 1998. Estrogenic and antiprogestagenic activities of pyrethroid insecticides. Biochemical & Biophysical Research Communications 251(3):855-859. DOI: 10.1006/bbrc.1998.9569. URL: https://www.sciencedirect.com/science/article/pii/S0006291X98995699  Go V, Garey J, Wolff MS, Pogo BGT. 1999. Estrogenic potential of certain pyrethroid compounds in the MCF-7 human breast carcinoma cell line. Environ Health Perspect 107(3):173-177. DOI: 10.2307/3434505. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1566380/  Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/","Medical/Veterinary/Research, Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US EPA. 2008. Fenvalerate-Product Cancellation Order. Federal Register 73(132):39294-39296. URL: http://www.regulations.gov/#!documentDetail;D=EPA-HQ-OPP-2008-0263-0002  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","09/20/2013",,,
"ferbam"," ","14484-64-1","Morisseau C, Merzlikin O, Lin A, He G, Feng W, Padilla I, Denison MS, Pessah IN, Hammock BD. 2009. Toxicology in the fast lane: application of high-throughput bioassays to detect modulation of key enzymes and receptors. Environ Health Perspect 117(12):1867-1872. DOI: 10.1289/ehp.0900834. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2799460/  Serio R, Long RA, Taylor JE, Tolman RL, Weppelman RM, Olson G. 1984. The antifertility and antiadrenergic actions of thiocarbamate fungicides in laying hens. Toxicol Appl Pharmacol 72(2):333-342. DOI: 10.1016/0041-008X(84)90318-1. URL: https://www.sciencedirect.com/science/article/pii/0041008X84903181","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"ferulic acid"," ","1135-24-6","Rosenberg RS, Grass L, Jenkins DJ, Kendall CWC, Diamandis EP. 1998. Modulation of androgen and progesterone receptors by phytochemicals in breast cancer cell lines. Biochemical & Biophysical Research Communications 248(3):935-939. DOI: 10.1006/bbrc.1998.8977. URL: https://www.sciencedirect.com/science/article/pii/S0006291X9898977X","Food additives and contact material, Metabolite/Degradate","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"fipronil"," ","120068-37-3","Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/  Lemaire G, Mnif W, Pascussi JM, Pillon A, Rabenoelina F, Fenet H, Gomez E, Casellas C, Nicolas JC, Cavailles V, Duchesne MJ, Balaguer P. 2006. Identification of new human pregnane X receptor ligands among pesticides using a stable reporter cell system. Toxicol Sci 91(2):501-509. DOI: 10.1093/toxsci/kfj173. URL: https://academic.oup.com/toxsci/article/91/2/501/1656783","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"flavanone",,"487-26-3","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W, Sheehan DM. 2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chem Res Toxicol 16(10):1338-1358. DOI: 10.1021/tx030011g. URL: http://pubs.acs.org/doi/abs/10.1021/tx030011g","Biogenic compound","Fang H, Tong WD, Branham WS, Moland CL, Dial SL, Hong HX, Xie Q, Perkins R, Owens W and Sheehan DM.  2003. Study of 202 natural, synthetic, and environmental chemicals for binding to the androgen receptor. Chemical Research in Toxicology 16(10): 1338-1358. DOI: 10.1021/tx030011g. URL: https://pubs.acs.org/doi/abs/10.1021/tx030011g","01/20/2017","01/20/2017",,,
